Revenue of Innovation and Technology Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Investment Income,114,2,3,155,218,284
Net Income from Projects,8,18,12,5,6,4
Refund of Grants,43,37,54,47,45,0
