Innovation and Technology Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Opening Balance,2379,1812,987,42,7991,6776
Revenue,165,57,69,207,269,288
Expenditure,732,882,1014,1258,1484,2085
Surplus/(Deficit) before Transfer from GRA,-567,-825,-945,-1051,-1215,-1797
Transfer from GRA,0,0,0,9000,0,0
Surplus/(Deficit),-567,-825,-945,7949,-1215,-1797
Closing Balance,1812,987,42,7991,6776,4979
