Receipts,Head (Code),Head,,Sub-head (Code),Sub-head,"Actual receipts to 31.3.2017
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Loan repayments,962,Industry,Hong Kong Science and Technology Parks Corporation,212,Loan to the Hong Kong Science and Technology Parks Corporation (Phase 2),546275,98582,97401
Loan repayments,973,Tourism,,202,Loan to the Hong Kong International Theme Parks Limited,0,0,325124
"Dividends, interest and other receipts from investments/loans",,,,,,0,719747,814981
Investment income,,,,,,0,78976,122000
