Expenditure of Capital Investment Fund,,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Investments/Loans,Hong Kong Science and Technology Parks Corporation,0,0,0,9476,600,560
Investments/Loans,Hongkong International Theme Parks Limited,0,0,0,700,200,876
Investments/Loans,Asian Development Bank,12,12,17,18,18,18
Investments/Loans,Asian Infrastructure Investment Bank,0,0,0,0,240,240
