Revenue of Capital Investment Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Loan Repayments,167,110,94,96,98,423
"Dividends, Interest and Other Receipts from Investments/Loans",1367,1351,1315,1251,720,815
Investment Income,76,0,0,90,79,122
