,,Sub-head (Code),Approved projects,"Approved project estimate
$¡¦000","Actual expenditure to 31.3.2017
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Infrastructure,Civil Engineering¡XLand acquisition,1001CA,Compensation for surrenders and resumptions: street widening: urban area,135000,114762,10,10
Infrastructure,Civil Engineering¡XLand acquisition,1002CA,"Compensation for surrenders and resumptions: urban improvement districts: Yau Ma Tei, Wan Chai and Western",1115100,1090416,1000,100
Infrastructure,Civil Engineering¡XLand acquisition,1032CA,Special ex-gratia payments in relation to the regulation of Shenzhen River¡Xstage I works,20310,17682,100,100
Infrastructure,Civil Engineering¡XLand acquisition,1033CA,Redemption money payable in respect of land exchange entitlements and interest payable thereon under the New Territories Land Exchange Entitlements (Redemption) Ordinance,2400000,1155956,1000,1000
Infrastructure,Civil Engineering¡XLand acquisition,1034CA,Special compensation payments for former residents of the Tiu Keng Leng Cottage Area,574080,488377,1000,1000
Infrastructure,Civil Engineering¡XLand acquisition,1035CA,Special ex-gratia payments in relation to the Hong Kong section of the Guangzhou¡VShenzhen¡VHong Kong Express Rail Link,86000,72383,15,15
Infrastructure,Civil Engineering¡XLand acquisition,1036CA,Special ex-gratia payments in relation to the Liantang/Heung Yuen Wai Boundary Control Point Project,211000,33233,15,15
Block allocations,,1004CA,Compensation for surrenders and resumptions: miscellaneous,0,0,6169,10020
Block allocations,,1100CA,Compensation and ex-gratia allowances in respect of projects in the Public Works Programme,0,0,1447564,1603930
