"一般收入帳目及8個基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","733914","755717","828514","842888","953960","1091939"
"收入","455346","478668","450007","573124","612385","604509"
"開支","433543","396183","435633","462052","474406","569639"
"未計入債券及票據償還款項的綜合盈餘","21803","82485","14374","111072","137979","34870"
"二零零四年七月發行的債券及票據的償還款項","0","9688","0","0","0","0"
"已計入債券及票據償還款項的綜合盈餘","21803","72797","14374","111072","137979","34870"
"期末結餘","755717","828514","842888","953960","1091939","1126809"
