"一般收入帳目及基金","二零一七至一八年度修訂預算
期初結餘
百萬元","二零一七至一八年度修訂預算
收入
百萬元","二零一七至一八年度修訂預算
開支
百萬元","二零一七至一八年度修訂預算
各基金之間的轉撥淨額
百萬元","二零一七至一八年度修訂預算
已計入轉撥款項的盈餘／(赤字)
百萬元","二零一七至一八年度修訂預算
期末結餘
百萬元"
"政府一般收入帳目","563395","438275","377395","-4350","56530","619925"
"基本工程儲備基金","100873","167520","87815","0","79705","180578"
"資本投資基金","3078","897","1058","0","-161","2917"
"公務員退休金儲備基金","31899","930","0","2300","3230","35129"
"賑災基金","28","2","63","50","-11","17"
"創新及科技基金","7991","269","1484","0","-1215","6776"
"土地基金","219730","0","0","0","0","219730"
"貸款基金","4184","2690","5148","2000","-458","3726"
"獎券基金","22782","1802","1443","0","359","23141"
