"一般收入帳目及基金","二零一八至一九年度預算
期初結餘
百萬元","二零一八至一九年度預算
收入
百萬元","二零一八至一九年度預算
開支
百萬元","二零一八至一九年度預算
各基金之間的轉撥淨額
百萬元","二零一八至一九年度預算
已計入轉撥款項的盈餘／(赤字)
百萬元","二零一八至一九年度預算
期末結餘
百萬元"
"政府一般收入帳目","619925","466323","447888","77410","84094","704019"
"基本工程儲備基金","180578","129909","98293","-80000","-48384","132194"
"資本投資基金","2917","1360","1694","0","-334","2583"
"公務員退休金儲備基金","35129","1657","0","1530","3187","38316"
"賑災基金","17","3","0","60","63","80"
"創新及科技基金","6776","288","2085","0","-1797","4979"
"土地基金","219730","0","0","0","0","219730"
"貸款基金","3726","2778","4947","1000","-1169","2557"
"獎券基金","23141","2191","2981","0","-790","22351"
