"貸款基金收入","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"償還的貸款","2210","1812","1818","1925","2118","2102"
"貸款利息","161","151","155","151","153","166"
"過期償還貸款的附加費","3","4","4","5","5","5"
"投資收入","122","0","0","134","121","134"
"出售貸款所得的款項","151","108","209","170","293","371"
