"貸款基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","2186","1389","2472","4468","4184","3726"
"收入","2647","2075","2186","2385","2690","2778"
"開支","4144","3492","3190","4669","5148","4947"
"從政府一般收入帳目轉撥款項前的盈餘／(赤字)","-1497","-1417","-1004","-2284","-2458","-2169"
"從政府一般收入帳目轉撥款項的淨額","700","2500","3000","2000","2000","1000"
"從政府一般收入帳目轉撥款項後的盈餘／(赤字)","-797","1083","1996","-284","-458","-1169"
"期末結餘","1389","2472","4468","4184","3726","2557"
