Revenue of Lotteries Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Mark Six Lottery,1159,1182,1219,1276,1104,1087
Net Proceeds of Auctions of Vehicle Registration Marks,77,71,103,88,59,61
Investment Income,518,0,0,730,635,1039
Donations,3,69,9,4,4,4
Refund of Grants,0,0,0,0,0,0
