"總目 (編號)","總目","分目(編號)
","分目","核准承擔額
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"111","創新及科技","090","院校中游研發計劃(整體撥款)","0","0","8600","22600"
"111","創新及科技","101","創新及科技(整體撥款)","0","0","1322114","1386626"
"111","創新及科技","104","納米及先進材料研發院","690000","390014","66000","74400"
"111","創新及科技","105","香港紡織及成衣研發中心","344500","194382","33003","38700"
"111","創新及科技","106","汽車零部件研發中心","299700","158988","18209","21410"
"111","創新及科技","107","物流及供應鏈管理應用技術研發中心","362400","212950","36000","41500"
"111","創新及科技","110","創科創投基金公司","2000000","0","0","500000"
