"創新及科技基金收入","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"投資收入","114","2","3","155","218","284"
"從項目所獲得的收入淨額","8","18","12","5","6","4"
"補助金退款","43","37","54","47","45","0"
