"創新及科技基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","2379","1812","987","42","7991","6776"
"收入","165","57","69","207","269","288"
"開支","732","882","1014","1258","1484","2085"
"從政府一般收入轉撥款項前的盈餘／(赤字)","-567","-825","-945","-1051","-1215","-1797"
"從政府一般收入轉撥的款項","0","0","0","9000","0","0"
"盈餘／(赤字)","-567","-825","-945","7949","-1215","-1797"
"期末結餘","1812","987","42","7991","6776","4979"
