"收入","2016–17實際收入
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"投資收入","154974","218224","284000"
"從項目所獲得的收入淨額","4621","5904","4465"
"補助金退款","47588","44540","0"
"從政府一般收入轉撥的款項","9000000","0","0"
