"賑災基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","6","31","15","14","28","17"
"收入","3","2","1","4","2","3"
"開支","171","47","82","54","63","0"
"從政府一般收入帳目轉撥款項前的盈餘／(赤字)","-168","-45","-81","-50","-61","3"
"從政府一般收入帳目轉撥的款項","193","29","80","64","50","60"
"從政府一般收入帳目轉撥款項後的盈餘／(赤字)","25","-16","-1","14","-11","63"
"期末結餘","31","15","14","28","17","80"
