"收入","2016–17實際收入
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"投資收入","1314","1026","3000"
"退回的賑災撥款","2334","1751","0"
"從政府一般收入轉撥的款項","64000","50000","60000"
