"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2017止
的累積開支
$'000","2017-18
修訂預算開支
$'000","結餘
$'000"
"140","經營帳目","700","一般非經常開支","823","醫療衞生研究基金",2915000,587767,185000,2142233
"140","非經營帳目","85C","菲臘牙科醫院","876","診所3A及3B吸管系統氣水分離器更換工程",3300,3092,0,208
"140","非經營帳目","85C","菲臘牙科醫院","891","一至五號升降機機廂更換工程及一至六號升降機加裝防止機廂向上超速裝置",5500,4000,0,1500
"141","經營帳目","700","一般非經常開支","016","社區投資共享基金",300000,97876,47900,154224
"141","經營帳目","700","一般非經常開支","876","兒童發展基金",900000,217105,67570,615325
"144","經營帳目","700","一般非經常開支","806","在駐武漢經濟貿易辦事處設立入境事務組的一筆過費用",2300,0,1537,763
"144","經營帳目","700","一般非經常開支","807","設立聯絡處的一筆過費用",7500,0,300,7200
"147","經營帳目","700","一般非經常開支","835","向受重建、大型維修或改善工程影響的合資格公屋租戶提供電費補充補貼",9000,6668,30,2302
"147","經營帳目","700","一般非經常開支","881","向合資格的住宅用戶戶口提供電費補貼",22300000,21626018,66000,607982
"148","經營帳目","700","一般非經常開支","801","設立風險為本資本制度的顧問研究",10000,0,0,10000
"148","經營帳目","700","一般非經常開支","802","用於推動和促進金融服務業發展的撥款",500000,0,0,500000
"148","經營帳目","700","一般非經常開支","804","向保險業監管局提供的撥款",200000,0,0,200000
"148","經營帳目","700","一般非經常開支","805","向亞洲基礎設施投資銀行項目準備特別基金供款",78000,0,0,78000
"148","經營帳目","700","一般非經常開支","888","提升保險業及資產財富管理業人才培訓先導計劃",100000,25200,9955,64845
"148","經營帳目","700","一般非經常開支","889","保險業監察主任職系人員離職方案",31200,0,30500,700
"151","經營帳目","700","一般非經常開支","801","消防安全改善工程資助計劃",2000000,0,0,2000000
"152","經營帳目","700","一般非經常開支","801","專業服務協進支援計劃",200000,0,5000,195000
"152","經營帳目","700","一般非經常開支","802","注資消費者訴訟基金",10000,0,0,10000
"152","經營帳目","700","一般非經常開支","804","競爭事務委員會訴訟工作的撥款",238346,0,0,238346
"152","經營帳目","700","一般非經常開支","818","零售業人力發展的措施",130000,34359,3208,92433
"152","經營帳目","700","一般非經常開支","833","中小企融資擔保計劃－特別優惠措施",100000000,434000,0,99566000
"152","經營帳目","700","一般非經常開支","835","為香港迪士尼樂園度假區的第二階段發展的顧問研究(待定)",27300,1484,2033,23783
"156","經營帳目","700","一般非經常開支","801","兼讀制專業課程學生資助試行計劃",200000,7300,26700,166000
"156","經營帳目","700","一般非經常開支","805","為自資專上教育界別設立第七輪配對補助金計劃",500000,0,300000,200000
"156","經營帳目","700","一般非經常開支","806","加強校長和教師的持續專業發展",500000,0,0,500000
"156","經營帳目","700","一般非經常開支","813","撥款予職業訓練局以推行職業教育和就業支援先導計劃",288000,60918,59210,167872
"156","經營帳目","700","一般非經常開支","817","內地大學升學資助計劃",105300,17468,8850,78982
"156","經營帳目","700","一般非經常開支","820","獎學金計劃資助境外升學",347965,53038,44000,250927
