Land Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Opening Balance,209266,219730,219730,219730,219730,219730
Revenue,10464,0,0,0,0,0
Expenditure,0,0,0,0,0,0
Surplus,10464,0,0,0,0,0
Closing Balance,219730,219730,219730,219730,219730,219730
