"分目 (編號)","分目","2016–17實際收入
$’000","2017–18原來預算
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"010","法院裁定的罰款及法定罰金","603756","571888","505268","482098"
"020","沒收","121735","106404","563721","112014"
"030","定額罰款制度(交通違例事項)","554845","544672","581131","615893"
"040","定額罰款制度(刑事訴訟)","211310","206553","214282","220710"
"050","公務員繳付款項","4747","3490","5427","4480"
"060","定額罰款制度(汽車引擎空轉)","18","17","16","16"
