"分目 (編號)","分目","2016–17實際收入
$’000","2017–18原來預算
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"010","政府土地牌照、地租(根據《地租(評估及徵收)條例》(第515章)的規定按應課差餉租值百分之三徵收的地租除外)及短期租約租金","2387902","2104814","2199896","2225270"
"020","政府宿舍租金","899318","876650","889865","852991"
"030","政府物業租金","1714124","1612701","1664127","1683046"
"040","投資收入及利息","16762584","15124000","15622597","27669000"
"060","自法定機構／法團的股本投資所獲取的回報","14456640","9756015","10885314","4833400"
"080","按現行財政安排從房屋委員會收回的款項","89413","578922","242898","1191886"
"090","根據《地租(評估及徵收)條例》(第515章)的規定按應課差餉租值百分之三徵收的地租","10654187","10994000","11351000","11692000"
