Bond Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Opening Balance,75293,100678,120058,128412,141379,138233
Revenue,34320,42612,38597,42133,24474,27063
Expenditure,8935,23232,30243,29166,27620,26493
Surplus/(Deficit),25385,19380,8354,12967,-3146,570
Closing Balance,100678,120058,128412,141379,138233,138803
