Expenditure of Bond Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Repayments for bonds under tender or subscription,7000,20000,28000,27022,24483,23323
Repayments for bonds under switch tender,0,847,0,0,0,0
Repayments for bonds under bond swap facility,40,0,0,0,1000,1000
Interest,1869,2274,1979,1805,1568,1605
Payments representing periodic distribution payments for alternative bonds,0,78,229,303,549,548
Others,26,33,35,36,20,17
