Revenue of Bond Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Proceeds from issuance of bonds under tender or subscription,30094,30364,24156,30040,19527,19600
Proceeds from issuance of bonds under switch tender,0,719,0,0,0,0
Proceeds from issuance of bonds under bond swap facility,41,0,0,0,1000,1000
Receipts representing proceeds from issuance of alternative bonds,0,7751,7753,7760,0,0
Investment income,4185,3778,6688,4333,3947,6463
