"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"基礎建設","土木工程－土地發展","7724CL","啟德發展計劃－前跑道南面發展項目前期基礎設施工程的勘測和詳細設計","38000","33202","680","505"
"基礎建設","土木工程－土地發展","7731CL","石硤尾大窩坪龍坪道旁的房屋用地基礎設施工程","781400","486841","43000","10000"
"基礎建設","土木工程－土地發展","7733CL","洪水橋新發展區檢討研究－顧問費及工地勘測","70400","44814","9070","6960"
"基礎建設","土木工程－土地發展","7738CL","啟德發展計劃－啟德明渠進口道及觀塘避風塘的改善工程的詳細設計及工地勘測","50000","33670","160","300"
"基礎建設","土木工程－土地發展","7740CL","啟德發展計劃－前跑道發展項目的餘下基礎設施工程的詳細設計及工地勘測","32000","10774","1000","10000"
"基礎建設","土木工程－土地發展","7744CL","屯門第54區的土地平整、道路及渠務工程第2期第1階段","325200","283763","15580","3154"
"基礎建設","土木工程－土地發展","7748CL","落馬洲河套地區發展－土地除污及前期工程","乙級工程","0","0","81000"
"基礎建設","土木工程－土地發展","7752CL","元朗南房屋用地規劃及工程研究－顧問費及工地勘測","49500","27012","6020","3530"
"基礎建設","土木工程－土地發展","7753CL","西九文化區基礎建設工程第一期－設計及工地勘測","478000","52104","7916","16500"
"基礎建設","土木工程－土地發展","7755CL","屯門第54區的土地平整、道路及渠務工程第2期第2階段","178900","150841","4420","105"
"基礎建設","土木工程－土地發展","7756CL","馬鞍山發展計劃－白石及落禾沙第2期道路及渠務工程","252800","80168","50620","26558"
"基礎建設","土木工程－土地發展","7761CL","啟德發展計劃－啟德機場北面停機坪第3A期及第4期基礎設施","2255300","1221011","347000","51200"
"基礎建設","土木工程－土地發展","7770CL","港珠澳大橋香港口岸上蓋發展的規劃、工程及建築研究","63400","23340","6850","7611"
"基礎建設","土木工程－土地發展","7772CL","古洞北新發展區及粉嶺北新發展區前期地盤平整和基礎設施工程－詳細設計及工地勘測","340800","61185","36200","20000"
"基礎建設","土木工程－土地發展","7774CL","安達臣道石礦場用地發展－詳細設計及工地勘測","187200","115276","12300","5185"
"基礎建設","土木工程－土地發展","7788CL","屯門第54區的土地平整、道路及渠務工程－第1期第1階段工程","493400","101996","79110","52000"
"基礎建設","土木工程－土地發展","7789CL","屯門第54區的土地平整、道路及渠務工程－第2期第3及4A階段工程","553100","106838","107690","52000"
"基礎建設","土木工程－土地發展","7790CL","西九文化區基礎建設工程第一期－第一組建造工程","840500","149146","140000","52000"
"基礎建設","土木工程－土地發展","7791CL","西九文化區綜合地庫－首階段及第二階段的設計、工地勘測及建造工程","2919500","485368","329800","153200"
"基礎建設","土木工程－土地發展","7797CL","啟德發展計劃－前北面停機坪第3B期及第5A期基礎設施","2152800","20800","189252","134377"
"基礎建設","土木工程－土地發展","7798CL","西九文化區基礎建設工程第一期－第二組建造工程","乙級工程","0","0","37930"
"基礎建設","土木工程－土地發展","7799CL","東涌新市鎮擴展－詳細設計及工地勘測","729500","34860","90000","55280"
"基礎建設","土木工程－土地發展","7801CL","西九龍填海計劃－主要工程(餘下部分)－位於深水埗深旺道與東京街西交界處的行人天橋","368900","15956","60000","96000"
"基礎建設","土木工程－土地發展","7803CL","安達臣道石礦場用地發展－地盤平整及相關基礎建設工程","7693400","43105","536310","962497"
"基礎建設","土木工程－土地發展","7804CL","元朗錦田南發展計劃工地平整和基礎設施工程－前期工程","乙級工程","0","0","84800"
"基礎建設","土木工程－土地發展","7814CL","東涌新市鎮擴展－填海及前期工程","20210000","0","15863","1200000"
"基礎建設","土木工程－土地發展","7815CL","西九文化區綜合地庫－第三階段建造工程","乙級工程","0","30100","510000"
"基礎建設","土木工程－土地發展","7818CL","安達臣道石礦場用地發展－道路改善及基礎建設工程","乙級工程","0","200","456200"
"基礎建設","土木工程－土地發展","7822CL","啟德發展計劃－前跑道及南面停機坪第四期及第五期基礎設施","乙級工程","0","0","77911"
"基礎建設","土木工程－土地發展","7823CL","落馬洲河套地區發展－第一期主體工程－詳細設計及工地勘測","乙級工程","0","0","12000"
"基礎建設","運輸－碼頭","7050TF","社區重點項目計劃(西貢區)－重建橋咀碼頭","48800","187","14200","18071"
"基礎建設","運輸－行人天橋及行人隧道","7160TB","橫跨寶邑路連接將軍澳第55區及第65區行人天橋","80500","59248","6590","200"
"基礎建設","運輸－行人天橋及行人隧道","7181TB","觀塘市中心重建計劃－興建分層行人連接系統(月華街行人連接系統)","95000","74054","300","1398"
"基礎建設","運輸－行人天橋及行人隧道","7195TB","觀塘市中心重建計劃－為觀塘市中心重建計劃興建分層行人連接系統(橫跨協和街近協和街／物華街交界處的行人天橋)","乙級工程","0","0","19536"
"基礎建設","運輸－鐵路","7065TR","九龍東環保連接系統詳細可行性研究","92300","19064","14000","13067"
"基礎建設","運輸－道路","7741TH","將軍澳第86區北面通道","120800","119761","0","883"
