"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"基礎建設","供水－食水及海水供應","9090WC","更換及修復水管工程第1階段第1期","2063400","2045688","0","1000"
"基礎建設","供水－食水及海水供應","9182WC","更換及修復水管工程第2階段","3156600","3136879","600","10000"
"基礎建設","供水－食水及海水供應","9186WC","更換及修復水管工程第3階段","5550000","5440394","62430","40000"
"基礎建設","供水－食水及海水供應","9189WC","更換及修復水管工程第4階段第2期","4510300","3385572","516770","470000"
"基礎建設","供水－食水及海水供應","9190WC","更換及修復水管工程第4階段－勘測及詳細設計","198400","132133","0","1000"
"基礎建設","供水－食水及海水供應","9191WC","更換及修復水管工程第4階段第1期","6262400","5197290","455140","510000"
"基礎建設","供水－食水及海水供應","9193WC","屯門西北區供水計劃－第1階段","30300","18518","3000","1000"
"基礎建設","供水－食水及海水供應","9195WC","搬遷鑽石山食水及海水配水庫往岩洞的可行性研究","46000","16075","3908","1000"
"基礎建設","供水－食水及海水供應","9197WC","屯門西北區供水計劃－第2階段","87700","4408","4500","10000"
"基礎建設","供水－食水及海水供應","9198WC","建設智管網－第1期工程","239700","4295","25400","35000"
"基礎建設","供水－食水及海水供應","9202WC","建設智管網－第2期工程","乙級工程","0","0","50000"
"基礎建設","供水－食水及海水供應","9203WC","搬遷鑽石山食水及海水配水庫往岩洞－顧問費及勘測工作","乙級工程","0","0","10000"
"基礎建設","供水－食水供應","9237WF","粉嶺公路及社山村附近進行的水管敷設工程－第2階段","225500","108984","20500","5000"
"基礎建設","供水－食水供應","9333WF","長洲食水供應改善工程","254800","235067","13000","6690"
"基礎建設","供水－食水供應","9334WF","大埔濾水廠及附屬原水和食水輸送設施擴展工程－第2期工程","6176700","3037812","575000","480000"
"基礎建設","供水－食水供應","9344WF","沙田濾水廠原地重置工程(南廠)－設計和工地勘測","149100","120748","3000","5000"
"基礎建設","供水－食水供應","9350WF","上水及粉嶺供水改善計劃","521300","608","16000","70000"
"基礎建設","供水－食水供應","9355WF","上水及粉嶺新房屋發展供水計劃","乙級工程","0","0","176000"
"基礎建設","供水－食水供應","9356WF","東涌食水供應系統提升工程","300200","0","4000","30000"
"基礎建設","供水－食水供應","9357WF","將軍澳海水化淡廠第一階段設計及建造－主要工程","乙級工程","0","0","500000"
"基礎建設","供水－食水供應","9358WF","沙田濾水廠原地重置工程(南廠)－前期工程","1658000","422704","327000","260000"
"基礎建設","供水－食水供應","9359WF","將軍澳海水化淡廠第一階段設計及建造－勘查研究檢討、設計及工地勘測","154500","78887","32960","20000"
"基礎建設","供水－食水供應","9363WF","改善濾水廠消毒設施","875600","0","3000","300000"
"基礎建設","供水－食水供應","9364WF","將軍澳海水化淡廠第一階段設計及建造－水管敷設工程","720500","0","1000","60000"
"基礎建設","供水－食水供應","9366WF","小蠔灣濾水廠擴展工程－勘查、設計及工地勘測","乙級工程","0","0","10000"
"基礎建設","供水－海水供應","9013WS","薄扶林區海水供應系統","268000","260042","0","1000"
"基礎建設","供水－海水供應","9043WS","灣仔海水供應系統提升工程","271100","183224","31000","15000"
"基礎建設","供水－海水供應","9045WS","新界西北區海水供水計劃－餘下工程","808400","740331","7500","10000"
"基礎建設","供水－海水供應","9049WS","新界西北區海水供水計劃－第1階段","188000","182150","3000","2850"
"基礎建設","供水－海水供應","9053WS","柴灣海水供應系统提升工程","379100","15","22000","55460"
"整體撥款","","9100WX","為工務計劃丁級工程項目進行水務工程、研究及勘測工作","0","0","872600","937140"
"完成、取消或削減的工程","","","","0","0","8984","0"
