"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"經濟建設","海空交通－港口工程","5114AP","為葵青貨櫃港池及其進港航道提供足夠水深","488200","407064","69050","9500"
"社區及對外事務","康樂、文化及市政設施－體育設施","5258RS","在大埔龍尾發展泳灘","208200","7830","15000","70000"
"社區及對外事務","康樂、文化及市政設施－體育設施","5290RS","南大嶼山(梅窩及芝麻灣)越野單車徑網絡擴建工程","41600","27","5000","24631"
"環境","環境保護－污染控制","5054DP","進一步提升維港沿岸水質","89400","10576","22500","12500"
"環境","環境保護－廢物處理","5033DR","新界東北堆填區發展計劃","1841000","775126","17607","35397"
"環境","環境保護－廢物處理","5041DR","新界西堆填區發展計劃","2675000","1718553","0","1000"
"環境","環境保護－廢物處理","5042DR","新界東南堆填區發展計劃","3220000","1961841","22673","23100"
"環境","環境保護－廢物處理","5154DR","船灣堆填區修復計劃－工程","389300","205893","0","1245"
"環境","環境保護－廢物處理","5163DR","新界東北堆填區擴建計劃","7510000","353","50","185"
"環境","環境保護－廢物處理","5164DR","新界東南堆填區擴建計劃","2101600","4830","1230","154733"
"環境","環境保護－廢物處理","5168DR","港島東廢物轉運站改建及翻新工程","56500","41676","760","1000"
"環境","環境保護－廢物處理","5172DR","有機資源回收中心第1期","1589200","758206","382000","133510"
"環境","環境保護－廢物處理","5173DR","有機資源回收中心第2期","乙級工程","0","0","177009"
"環境","環境保護－廢物處理","5174DR","港島西廢物轉運站改建及翻新工程","99700","82432","500","6000"
"環境","環境保護－廢物處理","5175DR","西九龍廢物轉運站改建及翻新工程","105400","92723","0","8500"
"環境","環境保護－廢物處理","5177DR","綜合廢物管理設施第1期","19203700","0","122630","2106230"
"環境","環境保護－廢物處理","5180DR","發展廢電器電子產品處理及回收設施","548600","249003","185000","5000"
"環境","環境保護－廢物處理","5181DR","新界西堆填區擴建計劃－顧問費及勘測","38000","4523","1248","1800"
"環境","環境保護－廢物處理","5183DR","沙田廢物轉運站翻新及提升工程","137100","54792","41042","7600"
"環境","環境保護－污水收集設施及污水處理系統","5233DS","污泥處理設施","5364300","5145314","22000","16500"
"基礎建設","土木工程－排水道及防止侵蝕工程","5168CD","蓮塘／香園圍口岸與相關工程－治理深圳河第四期工程","595100","179898","18000","15000"
"基礎建設","土木工程－土地發展","5729CL","卸置污染泥料－沙洲污染泥料卸置設施的挖掘、管理及覆蓋工程","770900","293283","21270","22974"
"基礎建設","土木工程－土地發展","5737CL","大小磨刀以南污染泥卸置設施的挖掘、管理及覆蓋工程","617700","290506","7400","3679"
"基礎建設","土木工程－土地發展","5751CL","欣澳填海的規劃及工程研究","乙級工程","0","0","26670"
"基礎建設","土木工程－土地發展","5762CL","沙嶺墳場興建骨灰龕、火葬場及有關設施的土地平整及相關基建工程－詳細設計及工地勘測","66400","39197","2300","6700"
"基礎建設","土木工程－土地發展","5769CL","城市地下空間發展：策略性地區先導研究","70000","29839","6030","16685"
"基礎建設","土木工程－土地發展","5816CL","沙嶺墳場興建骨灰安置所的土地平整及相關基礎設施工程","1849600","0","1600","223000"
"基礎建設","土木工程－多種用途","5045CG","啟德發展計劃區域供冷系統","3905700","3063703","211800","192686"
"基礎建設","土木工程－多種用途","5047CG","新界東南及西北綠化總綱圖－優先綠化工程","350000","118338","72000","31000"
"基礎建設","輔助設施－管理線設施(道路工程除外)","5017GB","蓮塘／香園圍口岸與相關工程－詳細設計和土地勘測","265800","227917","390","1193"
"基礎建設","輔助設施－管理線設施(道路工程除外)","5018GB","蓮塘／香園圍口岸與相關工程－重置邊界巡邏通路及相關保安設施","393500","289411","1220","1300"
"基礎建設","輔助設施－管理線設施(道路工程除外)","5019GB","蓮塘／香園圍口岸與相關工程－工地平整及基礎建設工程","24973100","9321870","4885000","4885000"
"整體撥款","","5001BX","防止山泥傾瀉計劃","0","0","1041430","1034910"
"整體撥款","","5101CX","為工務計劃丁級工程項目進行土木工程、研究及勘測工作","0","0","271908","285090"
"整體撥款","","5101DX","為工務計劃丁級工程項目進行環境工程、研究及勘測工作","0","0","145921","139600"
"完成、取消或削減的工程","","","","0","0","2053","0"
