"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"環境","環境保護－污水收集設施及污水處理系統","4392DS","沙頭角污水處理廠第1期擴建工程","乙級工程","0","0","106900"
"環境","環境保護－污水收集設施及污水處理系統","4393DS","九龍、沙田及西貢污水幹渠修復工程","678500","0","2000","34000"
"環境","環境保護－污水收集設施及污水處理系統","4394DS","觀塘基本污水處理廠改善工程","349900","0","15469","59670"
"環境","環境保護－污水收集設施及污水處理系統","4395DS","吐露港未敷設污水設施地區的污水收集系統第2階段第1期","364700","121140","49500","10000"
"環境","環境保護－污水收集設施及污水處理系統","4396DS","南華莆及圍頭村污水收集系統","319100","104120","45000","21200"
"環境","環境保護－污水收集設施及污水處理系統","4397DS","離島污水收集系統第2階段－南丫鄉村污水收集系統第2期第1部分","340200","74889","33614","14200"
"環境","環境保護－污水收集設施及污水處理系統","4398DS","鯉魚門村污水收集系統工程","乙級工程","0","0","6900"
"環境","環境保護－污水收集設施及污水處理系統","4401DS","搬遷深井污水處理廠往岩洞的可行性研究","39200","12154","2474","4300"
"環境","環境保護－污水收集設施及污水處理系統","4402DS","搬遷西貢污水處理廠往岩洞的可行性研究","40600","17942","2906","1030"
"環境","環境保護－污水收集設施及污水處理系統","4403DS","汀角路污水泵房及污水收集系統改善工程","乙級工程","0","0","29900"
"環境","環境保護－污水收集設施及污水處理系統","4404DS","屯門污水收集系統－青山公路污水幹渠及屯門鄉村污水收集系統","722500","176527","103048","105820"
"環境","環境保護－污水收集設施及污水處理系統","4406DS","石湖墟污水處理廠－進一步擴建工程第1A期－前期工程、顧問費及勘測工作","502700","93901","134175","88565"
"環境","環境保護－污水收集設施及污水處理系統","4407DS","搬遷沙田污水處理廠往岩洞－顧問費及勘測工作","637700","247258","60000","31160"
"環境","環境保護－污水收集設施及污水處理系統","4410DS","西貢公路污水幹渠工程","68900","0","2400","6870"
"環境","環境保護－污水收集設施及污水處理系統","4411DS","新圍污水處理廠改善工程－第1期","2572300","115006","435000","530000"
"環境","環境保護－污水收集設施及污水處理系統","4412DS","元朗淨水設施－顧問費及勘測工作","88900","8575","15500","16500"
"環境","環境保護－污水收集設施及污水處理系統","4413DS","觀塘污水泵房優化工程","1054400","0","6000","121100"
"環境","環境保護－污水收集設施及污水處理系統","4418DS","九龍西部及荃灣污水系統改善工程－第1期","277400","0","3500","25520"
"環境","環境保護－污水收集設施及污水處理系統","4422DS","離島污水收集系統第2階段－坪洲鄉村污水收集系統第2期第1部分","乙級工程","0","0","4200"
"環境","環境保護－污水收集設施及污水處理系統","4423DS","北區污水收集系統第2階段第2A期－塘肚鄉村污水收集系統","乙級工程","0","0","500"
"環境","環境保護－污水收集設施及污水處理系統","4424DS","石湖墟淨水設施－主體工程第1階段","乙級工程","0","0","32700"
"環境","環境保護－污水收集設施及污水處理系統","4425DS","搬遷沙田污水處理廠往岩洞－工地預備及連接隧道工程","乙級工程","0","0","10000"
"環境","環境保護－污水收集設施及污水處理系統","4426DS","地下污水渠修復工程－第1階段","乙級工程","0","0","5000"
"基礎建設","土木工程－排水道及防止侵蝕工程","4092CD","元朗、錦田、牛潭尾及天水圍雨水排放系統改善計劃第1階段第2B期－餘下工程","202400","172717","0","600"
"基礎建設","土木工程－排水道及防止侵蝕工程","4102CD","屯門及深井雨水排放系統改善計劃－B部分","91400","89271","0","700"
"基礎建設","土木工程－排水道及防止侵蝕工程","4103CD","港島北部雨水排放系統改善計劃－港島西雨水排放隧道","3381300","3377089","350","200"
"基礎建設","土木工程－排水道及防止侵蝕工程","4104CD","港島北部雨水排放系統改善計劃－西部下游集水區工程","373300","351794","7434","4510"
"基礎建設","土木工程－排水道及防止侵蝕工程","4108CD","西九龍雨水排放系統改善計劃－水塘間轉運隧道計劃","乙級工程","0","0","28000"
"基礎建設","土木工程－排水道及防止侵蝕工程","4115CD","沙田及大埔雨水排放系統改善計劃－顧問費及勘測","24000","18948","300","300"
"基礎建設","土木工程－排水道及防止侵蝕工程","4128CD","南大嶼山雨水排放系統改善計劃","97700","87994","8750","786"
"基礎建設","土木工程－排水道及防止侵蝕工程","4129CD","新界北部雨水排放系統改善計劃－B部分－顧問費及勘測","15100","11306","296","414"
"基礎建設","土木工程－排水道及防止侵蝕工程","4130CD","新界北部雨水排放系統改善計劃－C部分－顧問費及勘測","15400","12012","850","200"
"基礎建設","土木工程－排水道及防止侵蝕工程","4137CD","九龍坑麻笏河雨水排放系統改善計劃","232600","185517","500","350"
"基礎建設","土木工程－排水道及防止侵蝕工程","4140CD","重建和修復一段由蒲崗村道至東光道的啟德明渠－餘下工程","1602000","731389","172000","134000"
"基礎建設","土木工程－排水道及防止侵蝕工程","4145CD","上水及粉嶺雨水渠改善工程","92200","62468","0","2000"
"基礎建設","土木工程－排水道及防止侵蝕工程","4148CD","丙崗、九龍坑、元嶺、南華莆及泰亨地區雨水排放系統改善工程","358400","346821","2500","2740"
"基礎建設","土木工程－排水道及防止侵蝕工程","4150CD","水塘間轉運隧道計劃－環境影響評估、勘測及設計","31500","24040","1200","3300"
"基礎建設","土木工程－排水道及防止侵蝕工程","4151CD","粉嶺龍躍頭、軍地南及嶺仔雨水排放系統改善工程","134600","132334","0","2265"
"基礎建設","土木工程－排水道及防止侵蝕工程","4152CD","林村河上游、社山河、大埔河上游、坪朗和官坑雨水排放系統改善工程","568200","541463","376","840"
"基礎建設","土木工程－排水道及防止侵蝕工程","4153CD","打鼓嶺的大埔田及坪輋、沙頭角的萬屋邊及蓮麻坑雨水排放系統改善工程","169600","168680","13","906"
"基礎建設","土木工程－排水道及防止侵蝕工程","4156CD","新界麒麟村、馬草壟、營盤、石仔嶺和沙嶺雨水排放系統改善計劃","221700","204949","0","2497"
"基礎建設","土木工程－排水道及防止侵蝕工程","4160CD","跑馬地地下蓄洪計劃","1065800","767063","131065","55100"
"基礎建設","土木工程－排水道及防止侵蝕工程","4162CD","重建和修復一段由蒲崗村道至東光道的啟德明渠－第1期工程","159400","138280","0","1000"
"基礎建設","土木工程－排水道及防止侵蝕工程","4169CD","重建和修復一段由東光道至太子道東的啟德明渠－主要工程","1244300","303487","91140","50391"
"基礎建設","土木工程－排水道及防止侵蝕工程","4180CD","地下雨水渠修復工程－第1階段","乙級工程","0","0","2000"
"整體撥款","","4100DX","為工務計劃丁級工程項目進行渠務工程、研究及勘測工作","0","0","415250","542420"
"完成、取消或削減的工程","","","","0","0","23430","0"
