"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"環境","環境保護－污水收集設施及污水處理系統","4143DS","中西區及灣仔西部污水收集系統第2階段第2B期工程","253400","249472","1200","1300"
"環境","環境保護－污水收集設施及污水處理系統","4215DS","元朗及錦田污水收集系統及污水排放設施－錦田污水幹渠收集系統第1期及凹頭污水幹渠工程","477600","474605","500","2494"
"環境","環境保護－污水收集設施及污水處理系統","4222DS","大埔污水處理廠第5階段第1期工程","463300","384653","1000","6000"
"環境","環境保護－污水收集設施及污水處理系統","4224DS","離島污水收集系統第1階段第1C期－小蠔灣污水處理廠改善工程","779400","505333","5800","2800"
"環境","環境保護－污水收集設施及污水處理系統","4236DS","大埔污水處理廠第5階段第2B期工程","659000","501445","19097","8100"
"環境","環境保護－污水收集設施及污水處理系統","4282DS","中西區及灣仔西部污水收集系統第1階段工程","1815000","1681469","593","905"
"環境","環境保護－污水收集設施及污水處理系統","4329DS","望后石污水處理廠改善工程","1920500","1853769","3235","5600"
"環境","環境保護－污水收集設施及污水處理系統","4332DS","林村谷污水收集系統第2階段","588300","356521","35500","2310"
"環境","環境保護－污水收集設施及污水處理系統","4333DS","中西區及灣仔西部污水收集系統第2階段第2A期工程","253800","179410","500","199"
"環境","環境保護－污水收集設施及污水處理系統","4341DS","淨化海港計劃第二期甲－改善昂船洲污水處理廠及初級污水處理廠工程","7913400","6536269","567584","227000"
"環境","環境保護－污水收集設施及污水處理系統","4344DS","九龍中部及東部污水收集系統改善工程－第3期","乙級工程","0","0","11900"
"環境","環境保護－污水收集設施及污水處理系統","4348DS","北區及吐露港污水收集系統、污水處理及排放設施－區域性污水收集系統工程第1部分－提升污水收集系統工程","793200","689483","9000","300"
"環境","環境保護－污水收集設施及污水處理系統","4350DS","元朗及錦田污水收集系統及污水排放計劃－顧問費及勘測工作","28000","11604","5430","2500"
"環境","環境保護－污水收集設施及污水處理系統","4351DS","淨化海港計劃第二期甲－昂船洲污水處理廠及初級污水處理廠改善工程的規劃和設計","105600","72151","800","150"
"環境","環境保護－污水收集設施及污水處理系統","4364DS","林村谷污水收集系統－污水幹渠、泵房及污水泵喉","162800","135786","500","6050"
"環境","環境保護－污水收集設施及污水處理系統","4366DS","九龍坑污水收集系統－污水幹渠、泵房及污水泵喉","103200","85221","500","849"
"環境","環境保護－污水收集設施及污水處理系統","4367DS","九龍中部及東部污水收集系統改善工程－第1期","304700","260067","0","400"
"環境","環境保護－污水收集設施及污水處理系統","4368DS","元朗南污水收集系統及廈村污水泵房擴建工程","550800","488423","7089","538"
"環境","環境保護－污水收集設施及污水處理系統","4369DS","淨化海港計劃第二期甲－建造污水輸送系統及改善昂船洲污水處理廠前期工程","9286500","8681529","154436","98330"
"環境","環境保護－污水收集設施及污水處理系統","4371DS","屯門西部污水收集系統","1340000","1133303","11200","4000"
"環境","環境保護－污水收集設施及污水處理系統","4372DS","在城門河道底下修復及建造污水幹渠","140000","85676","9500","6360"
"環境","環境保護－污水收集設施及污水處理系統","4373DS","林村谷污水收集系統第1階段","274400","240353","9000","690"
"環境","環境保護－污水收集設施及污水處理系統","4375DS","丙崗、虎地排和大窩污水收集系統","226800","178228","5300","5000"
"環境","環境保護－污水收集設施及污水處理系統","4376DS","流浮山污水幹渠系統","196300","166253","15700","1200"
"環境","環境保護－污水收集設施及污水處理系統","4377DS","九龍中部及東部污水收集系統改善工程－第2期","503000","346359","7500","500"
"環境","環境保護－污水收集設施及污水處理系統","4378DS","北區污水收集系統第2階段第2A期－白鶴林污水幹渠和沙頭角鄉村污水收集系統","272100","220436","20500","3000"
"環境","環境保護－污水收集設施及污水處理系統","4380DS","建造櫻桃街箱形雨水渠旱季截流器","664600","0","8000","63500"
"環境","環境保護－污水收集設施及污水處理系統","4381DS","在東涌及小蠔灣之間增建一條加壓污水管及修復現有加壓污水管","1362600","10800","75000","114300"
"環境","環境保護－污水收集設施及污水處理系統","4382DS","清水灣道、碧水新村及西貢西郊污水收集系統","359000","207547","66000","41700"
"環境","環境保護－污水收集設施及污水處理系統","4384DS","元朗及錦田污水收集系統第3階段第2部分","213400","182840","11007","1871"
"環境","環境保護－污水收集設施及污水處理系統","4385DS","離島污水收集系統第2階段－南大嶼山污水收集系統工程－顧問詳細設計費","30000","15183","2150","2300"
"環境","環境保護－污水收集設施及污水處理系統","4386DS","九龍坑新圍、九龍坑老圍和泰亨鄉村污水收集系統及圍頭村至南華莆之間的南面污水幹渠","316800","201507","33318","12632"
"環境","環境保護－污水收集設施及污水處理系統","4387DS","梅窩污水處理廠改善工程及梅窩市中心與橫塘污水收集系統工程","967200","511195","174770","39600"
"環境","環境保護－污水收集設施及污水處理系統","4390DS","屯門污水幹渠修復工程","乙級工程","0","0","8000"
