"","","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"建築物","社區及對外事務","康樂、文化及市政設施－綜合設施","B062RG","深水埗西北九龍填海區第6號地盤的體育館、五人足球場及公共圖書館設施","1564600","5797","115000","248000"
"建築物","社區及對外事務","康樂、文化及市政設施－休憩用地","B437RO","毗鄰牛頭角下邨公共房屋重建項目的地區休憩用地","125000","99393","500","1000"
"建築物","社區及對外事務","康樂、文化及市政設施－休憩用地","B440RO","毗鄰安達臣道公營房屋發展項目的地區休憩用地","乙級工程","0","0","21000"
"建築物","社區及對外事務","康樂、文化及市政設施－休憩用地","B446RO","毗鄰新蒲崗公營房屋發展項目的地區休憩用地","乙級工程","0","0","2100"
"建築物","社區及對外事務","康樂、文化及市政設施－體育設施","B286RS","重置觀塘曉明街遊樂場康樂設施","乙級工程","0","0","4200"
"建築物","社區及對外事務","康樂、文化及市政設施－體育設施","B289RS","觀塘彩榮路體育館","609600","1074","50200","84000"
"建築物","社區及對外事務","社會福利及社區建設－社區會堂","B195SC","觀塘秀明道社區會堂","134900","34515","14000","55000"
"建築物","社區及對外事務","社會福利及社區建設－社區會堂","B197SC","深水埗白田邨重置白田社區會堂與特殊幼兒中心暨早期教育及訓練中心和興建南昌街行人天橋","318300","76192","170000","37000"
"建築物","社區及對外事務","社會福利及社區建設－社區會堂","B202SC","粉嶺皇后山社區會堂暨社會福利設施","乙級工程","0","0","31500"
"建築物","雜項","輔助設施－其他","B186GK","將軍澳第65C2區的服務設施大樓","235200","0","10000","44000"
"土木工程","基礎建設","土木工程－土地發展","B563CL","天水圍的進一步發展計劃－道路交界處改善工程、地盤平整及主要基礎設施工程","3163200","1992796","0","105"
"土木工程","基礎建設","土木工程－土地發展","B564CL","彩雲道及佐敦谷毗鄰的發展計劃","2009300","1983997","510","105"
"土木工程","基礎建設","土木工程－土地發展","B566CL","安達臣道的發展計劃","3467200","3317405","30930","60000"
"土木工程","基礎建設","土木工程－土地發展","B742CL","與東涌第56區的建議發展項目有關的主要基礎建設工程","54800","40262","4365","2035"
"土木工程","基礎建設","土木工程－土地發展","B757CL","沙田第16區及第58D區的道路及渠務工程","224500","23475","43440","28354"
"土木工程","基礎建設","土木工程－土地發展","B777CL","深水埗連翔道用地發展之道路及基礎設施工程","114800","10085","38160","21160"
"土木工程","基礎建設","土木工程－土地發展","B779CL","觀塘曉明街公營房屋發展之工地平整工程","乙級工程","0","0","1051"
"土木工程","基礎建設","土木工程－土地發展","B780CL","元朗橫洲公營房屋發展計劃之工地平整及基礎建設工程","乙級工程","0","0","300000"
"土木工程","基礎建設","土木工程－土地發展","B781CL","東涌第54區公營房屋發展之基礎設施工程","284800","0","10600","66783"
"土木工程","基礎建設","土木工程－土地發展","B783CL","粉嶺皇后山發展之基礎設施工程","1459500","13941","115000","207000"
"土木工程","基礎建設","土木工程－土地發展","B813CL","大埔第9區和頌雅路公營房屋發展之工地平整及基礎設施工程－第一期","1146800","0","31910","173000"
"運輸","基礎建設","運輸－行人天橋及行人隧道","B177TB","觀塘秀明道的接駁行人天橋","130100","1867","19660","35185"
"運輸","基礎建設","運輸－行人天橋及行人隧道","B187TB","屯門兆康路行人天橋改善工程","129500","1073","8639","19298"
"運輸","基礎建設","運輸－行人天橋及行人隧道","B189TB","上水彩園路行人天橋及單車停車處擴建工程","乙級工程","0","0","9900"
"運輸","基礎建設","運輸－交匯處／巴士總站","B080TI","葵涌貨櫃碼頭路的公共運輸交匯處及葵涌道道路交界處改善工程","72700","28398","29350","7979"
"運輸","基礎建設","運輸－交匯處／巴士總站","B081TI","屏山橋昌路東公共運輸交匯處及相關工程","602200","49216","173627","83801"
"運輸","基礎建設","運輸－交匯處／巴士總站","B082TI","深水埗西北九龍填海區第6號地盤的公共運輸交匯處","174000","511","6620","19466"
"運輸","基礎建設","運輸－交匯處／巴士總站","B083TI","深水埗白雲街的公共運輸交匯處","108200","571","2680","38400"
"運輸","基礎建設","運輸－道路","B868TH","沙田馬鞍山道路改善工程","乙級工程","0","0","59400"
"供水","基礎建設","供水－食水及海水供應","B126WC","安達臣道房屋發展項目的供水計劃","231500","188321","550","100"
"整體撥款","","","B100HX","為工務計劃丁級工程項目進行小規模房屋發展和有關工程、研究及勘測工作","0","0","131850","122180"
"完成、取消或削減的工程","","","","","0","0","35777","0"
