"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"基礎建設","運輸－行人天橋及行人隧道","6153TB","尖沙咀東部行人天橋改善工程","71400","55384","120","210"
"基礎建設","運輸－行人天橋及行人隧道","6157TB","正街自動扶梯連接系統(第1期)","60700","53367","100","810"
"基礎建設","運輸－行人天橋及行人隧道","6158TB","將軍澳唐明街與唐德街之間的高架行人道","221600","5543","18980","34271"
"基礎建設","運輸－行人天橋及行人隧道","6164TB","連接荃灣廣場、灣景廣場及毗鄰環境美化地帶之行人天橋","146200","0","15000","42197"
"基礎建設","運輸－行人天橋及行人隧道","6167TB","在公共行人天橋、高架行人道和行人隧道提供無障礙通道設施－設計工作及第一期建造工程","292100","220765","12230","6635"
"基礎建設","運輸－行人天橋及行人隧道","6168TB","窩打老道山升降機及行人通道系統","116700","5135","21000","32536"
"基礎建設","運輸－行人天橋及行人隧道","6169TB","青衣長亨邨升降機及行人通道系統","222700","2891","35000","50720"
"基礎建設","運輸－行人天橋及行人隧道","6173TB","擴建中信大廈行人天橋至添馬的立法會綜合大樓","74300","47818","2000","2000"
"基礎建設","運輸－行人天橋及行人隧道","6175TB","葵涌葵盛圍至興盛路升降機及行人通道系統","239400","0","21900","36000"
"基礎建設","運輸－行人天橋及行人隧道","6178TB","葵涌青山公路至工業街升降機及行人通道系統","乙級工程","0","0","10828"
"基礎建設","運輸－行人天橋及行人隧道","6182TB","連接朗屏站的元朗市高架行人通道","乙級工程","0","0","93568"
"基礎建設","運輸－行人天橋及行人隧道","6185TB","葵涌大窩口道至禾塘咀街升降機及行人通道系統","249400","0","0","7159"
"基礎建設","運輸－交匯處／巴士總站","6045TI","荃灣第35區巴士總站","20900","0","0","20900"
"基礎建設","運輸－交匯處／巴士總站","6067TI","紅磡灣填海區公共運輸交匯處","48100","0","200","47466"
"基礎建設","運輸－交匯處／巴士總站","6076TI","屯門公路巴士轉乘站","205300","186479","3093","4641"
"基礎建設","運輸－交匯處／巴士總站","6078TI","位於前北角邨用地東面部分的有蓋公共交通總站","43700","0","0","39600"
"基礎建設","運輸－鐵路","6038TR","西鐵(第一期)－屯門段主要基建工程","493500","403886","0","5630"
"基礎建設","運輸－鐵路","6051TR","沙田至中環線－設計及地盤勘測","2407500","2335104","196","12825"
"基礎建設","運輸－鐵路","6052TR","廣深港高速鐵路香港段－設計及地盤勘測工作","2782600","2575826","60000","30000"
"基礎建設","運輸－鐵路","6053TR","廣深港高速鐵路香港段－鐵路建造工程","70405000","57503656","6170000","2380000"
"基礎建設","運輸－鐵路","6055TR","西港島線－主要基建工程","103600","69592","1532","300"
"基礎建設","運輸－鐵路","6056TR","南港島線(東段)－主要基建工程","1213200","810817","55730","106860"
"基礎建設","運輸－鐵路","6057TR","廣深港高速鐵路香港段－非鐵路建造工程","16015000","13085175","2110000","630000"
"基礎建設","運輸－鐵路","6060TR","觀塘線延線－主要基建工程","826900","583572","95217","95218"
"基礎建設","運輸－鐵路","6061TR","沙田至中環線－鐵路建造工程－餘下工程","65433300","40453286","9184791","6916850"
"基礎建設","運輸－鐵路","6062TR","沙田至中環線－非鐵路建造工程－餘下工程","5983100","4407336","578781","799200"
"基礎建設","運輸－鐵路","6063TR","沙田至中環線－鐵路建造工程－前期工程","7102600","5793241","498984","50145"
"基礎建設","運輸－鐵路","6064TR","沙田至中環線－非鐵路建造工程－前期工程","1448200","1226056","70136","2397"
"基礎建設","運輸－道路","6461TH","中九龍幹線－主要工程","42363900","0","176900","2215100"
"基礎建設","運輸－道路","6557TH","中環及灣仔繞道和東區走廊連接路－顧問費及勘測工作","215000","207098","175","115"
"基礎建設","運輸－道路","6561TH","舊政務司官邸附近道路交匯處與馬料水道路交匯處之間一段吐露港公路的擴闊工程","2507200","865109","1520","500"
"基礎建設","運輸－道路","6579TH","中環及灣仔繞道和東區走廊連接路","36038900","22827318","2653591","1510000"
"基礎建設","運輸－道路","6582TH","中九龍幹線－顧問設計費及地盤勘測工作","192300","161594","7080","9545"
"基礎建設","運輸－道路","6694TH","八號幹線長沙灣至沙田段","6759700","6013474","800","9784"
"基礎建設","運輸－道路","6703TH","清水灣道與匡湖居之間的一段西貢公路分隔車道工程及蠔涌區內通路改善工程","1774400","154743","149874","176427"
"基礎建設","運輸－道路","6711TH","八號幹線青衣至長沙灣段－餘下工程","8068200","7744678","8983","700"
"基礎建設","運輸－道路","6718TH","龍井頭至長沙一段東涌道的改善工程","865100","849260","540","4121"
"基礎建設","運輸－道路","6720TH","舊政務司官邸附近道路交匯處與粉嶺之間的吐露港公路／粉嶺公路擴闊工程－第二期","4320000","1577636","569474","609382"
"基礎建設","運輸－道路","6721TH","藍地與十八鄉交匯處之間一段元朗公路的擴闊工程","944700","930719","8150","1262"
"基礎建設","運輸－道路","6736TH","后海灣幹線","4594600","3448464","1554","1865"
"基礎建設","運輸－道路","6738TH","十號幹線－由北大嶼山至元朗公路－南段的詳細設計","454500","169159","1500","15821"
"基礎建設","運輸－道路","6746TH","屯門公路重建及改善工程","6804300","6594604","30000","8000"
"基礎建設","運輸－道路","6751TH","舊政務司官邸附近道路交匯處與粉嶺之間的吐露港公路／粉嶺公路擴闊工程－詳細設計及巖土勘測工作","71900","55447","5657","2018"
"基礎建設","運輸－道路","6798TH","博愛交匯處改善工程","264800","241908","22066","826"
"基礎建設","運輸－道路","6804TH","大埔公路(沙田段)加建隔音屏障工程","乙級工程","0","0","49262"
"基礎建設","運輸－道路","6810TH","屯門公路(市中心段)加建隔音屏障工程","826500","112878","100000","161682"
"基礎建設","運輸－道路","6814TH","屯門公路(虎地段)加建隔音屏障工程","786200","30866","94780","146290"
"基礎建設","運輸－道路","6819TH","屯門公路市中心段交通改善工程","1967900","1893244","2572","2500"
"基礎建設","運輸－道路","6828TH","屯門至赤鱲角連接路及屯門西繞道－勘測及初步設計工作","103500","77862","1900","10100"
"基礎建設","運輸－道路","6839TH","港珠澳大橋香港口岸－詳細設計及工地勘測工作","621900","482852","5149","3727"
"基礎建設","運輸－道路","6843TH","舊政務司官邸附近道路交匯處與泰亨之間的吐露港公路擴闊工程","4486900","4405836","20363","5256"
"基礎建設","運輸－道路","6844TH","港珠澳大橋香港接線","25047200","18249782","2972600","2100000"
"基礎建設","運輸－道路","6845TH","港珠澳大橋香港口岸－填海及口岸設施","35895000","18689897","9465230","4200000"
"基礎建設","運輸－道路","6846TH","屯門至赤鱲角連接路－詳細設計、工地勘測及前期工程","1909600","1788888","69500","16556"
"基礎建設","運輸－道路","6855TH","西九龍填海發展的道路改善工程(第一期)","845800","190852","148000","129630"
"基礎建設","運輸－道路","6857TH","屯門至赤鱲角連接路－建造工程","44798400","17523179","6550245","6500000"
"基礎建設","運輸－道路","6870TH","十一號幹線(北大嶼山至元朗)的可行性研究","乙級工程","0","3600","29300"
"基礎建設","運輸－交通控制","6029TC","安裝新增的交通探測器、行車速度屏和行車時間顯示系統","乙級工程","0","0","5000"
"整體撥款","","6100TX","為工務計劃丁級工程項目進行公路工程、研究及勘測工作","0","0","769790","767070"
"整體撥款","","6101TX","人人暢道通行計劃","0","0","850000","730000"
"完成、取消或削減的工程","","","","0","0","24061","0"
