"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"社區及對外事務","康樂、文化及市政設施－文化設施","3059RE","高山劇場興建新翼大樓工程計劃","683200","591233","16000","800"
"社區及對外事務","康樂、文化及市政設施－文化設施","3060RE","興建東九文化中心","4175700","136404","250000","550000"
"社區及對外事務","康樂、文化及市政設施－文化設施","3066RE","香港藝術館擴建及修繕工程","934400","134130","365000","223400"
"社區及對外事務","康樂、文化及市政設施－文化設施","3073RE","新界東文化中心－施工前工程","乙級工程","0","0","5900"
"社區及對外事務","康樂、文化及市政設施－文化設施","3074RE","在天水圍第109區興建文物修復資源中心－施工前工程","乙級工程","0","0","500"
"社區及對外事務","康樂、文化及市政設施－綜合設施","3049RG","元朗第3區公共圖書館及體育館","704100","504646","35000","20000"
"社區及對外事務","康樂、文化及市政設施－綜合設施","3050RG","將軍澳第74區地區休憩用地、體育館及圖書館","749200","585080","2800","1000"
"社區及對外事務","康樂、文化及市政設施－綜合設施","3051RG","重建觀塘游泳池場館及觀塘遊樂場","1323800","1036035","100","100"
"社區及對外事務","康樂、文化及市政設施－綜合設施","3055RG","沙田第14B區體育館、社區會堂及分區圖書館","1084000","681711","65000","2200"
"社區及對外事務","康樂、文化及市政設施－綜合設施","3056RG","屯門第14區(兆麟)政府綜合大樓","1250700","125411","270000","260000"
"社區及對外事務","康樂、文化及市政設施－綜合設施","3057RG","大埔第1區體育館、社區會堂及足球場","2163100","8451","100000","210000"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3427RO","北區第47及48區休憩用地","乙級工程","0","0","1700"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3433RO","大埔第6區休憩用地","乙級工程","0","0","1100"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3434RO","深水埗興華街西休憩用地","122000","22864","41000","8800"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3436RO","啟德大道公園","乙級工程","0","0","15800"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3439RO","觀塘海濱花園(第二期)","250700","204373","3500","1000"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3450RO","改建駿業街遊樂場為觀塘工業文化公園","111100","6081","29000","31200"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3452RO","香港兒童醫院旁的海濱長廊","乙級工程","0","0","7400"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3456RO","重置成業街休憩花園為翠屏河公園","106700","1205","25000","35000"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3466RO","海濱道公園及其鄰近範圍改善工程","乙級工程","0","0","13700"
"社區及對外事務","康樂、文化及市政設施－休憩用地","3467RO","啟德車站廣場","乙級工程","0","0","15000"
"社區及對外事務","康樂、文化及市政設施－體育設施","3266RS","維多利亞公園游泳池場館重建工程","1197700","931402","5000","45000"
"社區及對外事務","康樂、文化及市政設施－體育設施","3269RS","青衣第4區體育館","774800","466858","13500","12500"
"社區及對外事務","康樂、文化及市政設施－體育設施","3272RS","啟德體育園－建造工程","31898000","0","0","218611"
"社區及對外事務","康樂、文化及市政設施－體育設施","3273RS","沙田第24D區體育館","639700","90740","110000","235000"
