"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"社區及對外事務","康樂、文化及市政設施－體育設施","3275RS","改建黃大仙摩士公園游泳池，以提供暖水泳池","乙級工程","0","0","10000"
"社區及對外事務","康樂、文化及市政設施－體育設施","3277RS","荃灣公園與荃灣路之間的體育館","765600","57889","270000","4000"
"社區及對外事務","康樂、文化及市政設施－體育設施","3281RS","重置駿業街遊樂場設施至康寧道公園及牛頭角食水配水庫","382200","0","0","30300"
"社區及對外事務","康樂、文化及市政設施－體育設施","3287RS","啟德體育園區－施工前工程","62700","35719","15500","7664"
"社區及對外事務","康樂、文化及市政設施－體育設施","3288RS","天水圍第107區游泳池場館及休憩用地","乙級工程","0","0","8000"
"社區及對外事務","康樂、文化及市政設施－體育設施","3292RS","屯門第16區運動場及休憩用地－施工前工程","乙級工程","0","0","7400"
"社區及對外事務","康樂、文化及市政設施－體育設施","3294RS","重建元朗大球場－施工前工程","乙級工程","0","0","2100"
"社區及對外事務","社會福利及社區建設－社區會堂","3191SC","黃大仙東頭邨第九期的社區會堂及綜合家庭服務中心","54700","52278","500","1900"
"社區及對外事務","社會福利及社區建設－社區會堂","3193SC","屯門第18區房屋用地社區會堂","74000","59821","400","2000"
"社區及對外事務","社會福利及社區建設－社區會堂","3194SC","位於前北角邨用地東面部分的社區會堂","61000","0","0","400"
"經濟建設","輔助設施－工商業","3007GA","啟德郵輪碼頭發展的郵輪碼頭大樓及附屬設施","5852100","5252757","5000","4000"
"經濟建設","郵政、電訊及能源－郵局","3023PP","重置香港郵政總部","乙級工程","0","0","73600"
"教育","教育－小學","3299EP","屯門第55區1所設有24間課室的小學","163500","139806","3000","500"
"教育","教育－小學","3300EP","屯門第55區1所設有30間課室的小學","219800","166291","3000","500"
"教育","教育－小學","3330EP","薄扶林域多利道與薄扶林道交界處1所設有24間課室的小學","255600","201580","11100","500"
"教育","教育－小學","3341EP","深水埗福榮街1所設有18間課室的小學","109000","108002","800","100"
"教育","教育－小學","3349EP","九龍啟德發展計劃(地盤1A-3)1所設有30間課室的小學","312400","254590","2500","10000"
"教育","教育－小學","3350EP","九龍啟德發展計劃(地盤1A-4)1所設有30間課室的小學","317500","268011","2000","16000"
"教育","教育－小學","3351EP","香港北角百福道前丹拿道已婚警察宿舍地盤2所設有24間課室的小學","660000","87073","232400","55000"
"教育","教育－小學","3352EP","長沙灣東京街1所設有30間課室的小學","乙級工程","0","0","21000"
"教育","教育－小學","3353EP","觀塘安達臣道發展區(地盤KT2b)1所設有30間課室的小學","351100","5181","90000","112000"
"教育","教育－小學","3354EP","粉嶺第36區1所設有36間課室的小學","417200","165024","115000","8500"
"教育","教育－中學","3271ES","啟德發展計劃(地盤1A-2) 1所設有30間課室的中學","446700","1981","94000","140000"
"教育","教育－其他","3106ET","屯門第16區1所為肢體傷殘學生而設的特殊學校","260400","229151","13000","2000"
"教育","教育－其他","3107ET","1所位於九龍觀塘彩興路的女童羣育學校","373700","191756","118000","9000"
"教育","教育－其他","3108ET","2所在土瓜灣崇安街的特殊學校","484000","238732","101000","17000"
"教育","教育－其他","3109ET","屯門第2B區1所男童羣育學校","408500","10615","85000","165000"
"教育","教育－其他","3110ET","在深水埗海麗邨附近興建1所設有12間課室的輕度智障兒童特殊學校","256600","45863","110000","50000"
"教育","教育－其他","3111ET","東涌第108區1所為輕度、中度及嚴重智障兒童而設的特殊學校","334700","0","26000","95000"
"環境和食物","環境衞生－墓地、靈灰安置所及火葬場","3013NB","重建和合石火葬場","686300","397853","3500","6000"
"環境和食物","環境衞生－墓地、靈灰安置所及火葬場","3016NB","重建歌連臣角火葬場","696300","573474","15000","5000"
"環境和食物","環境衞生－墓地、靈灰安置所及火葬場","3019NB","在屯門曾咀建造骨灰安置所和紀念花園","2874300","147826","287300","636000"
"環境和食物","環境衞生－墓地、靈灰安置所及火葬場","3020NB","重置沙田富山公眾殮房","乙級工程","0","0","55000"
"環境和食物","環境衞生－墓地、靈灰安置所及火葬場","3022NB","在和合石墳場興建骨灰安置所設施工程第一期","945600","8960","115000","180000"
"環境和食物","環境衞生－墓地、靈灰安置所及火葬場","3023NB","在柴灣歌連臣角道興建骨灰安置所設施工程","乙級工程","0","0","12000"
"環境和食物","環境衞生－墓地、靈灰安置所及火葬場","3026NB","和合石火葬場擴展工程","乙級工程","0","0","5000"
"環境和食物","環境衞生－零售市場及熟食中心","3034NM","在大圍街市裝設空氣調節系統","乙級工程","0","0","4000"
"環境和食物","環境衞生－廁所及浴室","3013NT","把旱廁改為沖水式廁所－第7期","383300","257202","9700","3000"
"基礎建設","土木工程－土地發展","3775CL","拆卸宋皇臺汽車維修站A及B1用地的現有建築物","99300","748","16000","9000"
"基礎建設","土木工程－土地發展","3794CL","拆卸銅鑼灣加路連山道用地的現有上蓋建築物","乙級工程","0","0","18900"
"保安","治安－懲教服務","3076LC","大欖女懲教所重建計劃","946600","752379","15000","3400"
"保安","治安－司法","3031LJ","西九龍法院大樓","2723100","2080752","18000","3000"
"保安","治安－警察","3237LP","東九龍總區總部及行動基地暨牛頭角分區警署","3186000","218130","366800","901100"
"保安","治安－警察","3277LP","油麻地警署重置工程","982900","757029","1100","200"
"保安","公眾安全－救護服務","3037BA","上水彩順街救護站興建計劃","174500","135076","4900","500"
"保安","公眾安全－消防","3173BF","消防訓練學校重建計劃","3562500","2959569","60200","20000"
"保安","宿舍－內部保安","3062JA","屯門虎地紀律部隊宿舍重建計劃","413400","291500","2300","700"
"保安","宿舍－內部保安","3063JA","香港仔田灣懲教署職員宿舍建造工程","256100","2227","31000","83000"
"保安","宿舍－內部保安","3064JA","將軍澳百勝角消防處紀律部隊宿舍建造工程","乙級工程","0","0","52600"
"保安","宿舍－內部保安","3065JA","將軍澳魷魚灣村道香港海關員佐級職員宿舍建造工程","604800","94111","140000","65000"
"保安","宿舍－內部保安","3066JA","九龍杏林街入境事務處職員宿舍建造工程","391000","47388","110000","38000"
"保安","宿舍－內部保安","3067JA","將軍澳第123區寶琳路香港海關職員宿舍建造工程","乙級工程","0","0","25000"
"保安","宿舍－內部保安","3068JA","慈雲山雙鳳街57號香港海關職員宿舍建造工程","乙級工程","0","0","20000"
"保安","宿舍－內部保安","3069JA","九龍將軍澳道觀塘職員宿舍重建計劃","1511300","278288","230000","350000"
"保安","宿舍－內部保安","3070JA","粉嶺芬園已婚初級警務人員宿舍重建計劃","2827900","0","105000","450000"
"保安","輔助設施－管理線設施(道路工程除外)","3012GB","輔助邊界圍網及主圍網和邊界巡邏通路新段建造工程－第2期","285000","216844","5000","5000"
"保安","輔助設施－管理線設施(道路工程除外)","3013GB","蓮塘／香園圍口岸與相關工程－口岸建築及相關設施建造工程","8811900","2270506","2050000","2579000"
"保安","輔助設施－管理線設施(道路工程除外)","3020GB","蓮塘／香園圍口岸與相關工程－口岸建築及相關設施－施工前顧問服務","180000","137142","1500","500"
"衞生","衞生－醫院","3070MM","瑪麗醫院重建工程第一期－主要工程","乙級工程","0","0","420000"
"衞生","衞生－醫院","3086MM","屯門醫院手術室大樓擴建計劃－主要工程","2729700","0","21000","220800"
"衞生","衞生－醫院","3089MM","葵涌醫院重建工程第一期","750800","98901","350000","109000"
"衞生","衞生－醫院","3090MM","屯門醫院手術室大樓擴建計劃－下層結構及公用設施遷移工程","167200","32500","62800","28100"
"衞生","衞生－醫院","3092MM","在啟德發展區興建新急症醫院－籌備工作","769300","0","42300","168100"
"衞生","衞生－醫院","3093MM","威爾斯親王醫院重建計劃第二期(第一階段)－籌備工作","1231100","0","56100","207400"
"衞生","衞生－醫院","3094MM","在啟德發展區興建新急症醫院－地基、挖掘及橫向承托和地庫挖掘工程","乙級工程","0","0","283600"
"雜項","裝修工程－其他","3401IO","香港國際機場飛行區中場範圍發展計劃裝置相關的政府設施工程","256500","126844","16000","15000"
"雜項","政府辦事處－政府內部服務","3074KA","興建西九龍政府合署","4742500","791487","940000","950000"
"雜項","政府辦事處－政府內部服務","3112KA","終審法院遷往昃臣道8號","463600","307083","5000","10000"
"雜項","政府辦事處－政府內部服務","3115KA","律政司部分辦公室遷往前中區政府合署中座及東座","796000","591301","8000","10000"
"雜項","政府辦事處－政府內部服務","3117KA","搬遷水務署新界西辦事處及水資源教育中心至天水圍","823400","242764","220000","110000"
"雜項","政府辦事處－政府內部服務","3118KA","前中區政府合署西座翻新工程以作律政司及法律相關組織辦公室用途","1078900","50635","250000","230000"
"雜項","政府辦事處－政府內部服務","3120KA","興建政府數據中心大樓－建造工程","乙級工程","0","0","80000"
"雜項","政府辦事處－政府內部服務","3121KA","長沙灣政府聯用辦公大樓－建造工程","乙級工程","0","0","150000"
"雜項","政府辦事處－政府內部服務","3122KA","啟德發展區的稅務大樓","乙級工程","0","0","126200"
"雜項","政府辦事處－政府內部服務","3123KA","改建前法國外方傳道會大樓供法律相關組織作辦公地方及相關用途","234200","0","1000","30000"
"雜項","政府辦事處－政府內部服務","3126KA","興建政府數據中心大樓－施工前顧問服務","52600","15608","10500","1000"
"雜項","政府辦事處－政府內部服務","3128KA","長沙灣政府聯用辦公大樓－施工前顧問服務及工地勘測工程","103200","7132","21000","2000"
"雜項","輔助設施－其他","3182GK","在西九龍填海區欽明路重置食物環境衞生署洗衣街環境衞生辦事處暨車房","1549900","110164","217000","220000"
"雜項","輔助設施－其他","3183GK","為展開油麻地戲院第二期發展而在油麻地巧翔街重置上海街垃圾收集站及露宿者服務單位的工程","223300","0","0","8400"
"雜項","輔助設施－其他","3185GK","重置運輸署驗車中心往青衣","2862700","0","0","151600"
"整體撥款","","3004GX","為工務計劃丁級工程項目進行翻修政府建築物工程","0","0","1969910","2014930"
"整體撥款","","3100GX","為工務計劃丁級工程項目進行可行性研究、小規模勘測工作及支付顧問費","0","0","181640","135570"
"整體撥款","","3101GX","為工務計劃丁級工程項目進行小規模建築工程","0","0","766440","888480"
"完成、取消或削減的工程","","","","0","0","14269","0"
