Revenue of Loan Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Loan Repayments,2210,1812,1818,1925,2118,2102
Interest on Loans,161,151,155,151,153,166
Surcharges on Overdue Loan Repayments,3,4,4,5,5,5
Investment Income,122,0,0,134,121,134
Proceeds from Sale of Loans,151,108,209,170,293,371
