"土地基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","209266","219730","219730","219730","219730","219730"
"收入","10464","0","0","0","0","0"
"開支","0","0","0","0","0","0"
"盈餘","10464","0","0","0","0","0"
"期末結餘","219730","219730","219730","219730","219730","219730"
