"債券基金收入","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"經投標或認購方式所發行債券的所得收入","30094","30364","24156","30040","19527","19600"
"在債券轉換投標安排下發行債券的收入","0","719","0","0","0","0"
"在債券互換安排下發行債券的收入","41","0","0","0","1000","1000"
"發行另類債券的所得收入","0","7751","7753","7760","0","0"
"投資收入","4185","3778","6688","4333","3947","6463"
