"總目 (編號)","總目","分目 (編號)","分目","2016–17實際收入
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"G01","債券基金","200","經投標或認購方式所發行債券的所得收入","30039446","19526853","19600000"
"G01","債券基金","202","在債券互換安排下發行債券的收入","0","1000000","1000000"
"G01","債券基金","210","發行另類債券的所得收入","7760200","0","0"
"G01","債券基金","","投資收入","4333099","3947638","6463000"
