"債券基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","75293","100678","120058","128412","141379","138233"
"收入","34320","42612","38597","42133","24474","27063"
"開支","8935","23232","30243","29166","27620","26493"
"盈餘／(赤字)","25385","19380","8354","12967","-3146","570"
"期末結餘","100678","120058","128412","141379","138233","138803"
