"債券基金開支","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"償還經投標或認購方式所發行債券的款項","7000","20000","28000","27022","24483","23323"
"在債券轉換投標安排下償還債券的款項","0","847","0","0","0","0"
"在債券互換安排下償還債券的款項","40","0","0","0","1000","1000"
"利息","1869","2274","1979","1805","1568","1605"
"支付另類債券定期派發的回報的款項","0","78","229","303","549","548"
"其他","26","33","35","36","20","17"
