"總目 (編號)","總目","分目 (編號)","分目","2016–17實際支出
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"G01","債券基金","100","償還經投標或認購方式所發行債券的款項","27021560","24483074","23322691"
"G01","債券基金","102","在債券互換安排下償還債券的款項","0","1000000","1000000"
"G01","債券基金","120","支付債券利息","1805381","1568361","1605466"
"G01","債券基金","125","支付另類債券定期派發的回報的款項","302646","548947","548418"
"G01","債券基金","130","其他","35963","19905","16569"
