"一般收入帳目的收入","收入總目","收入分目","實際
2013–14
百萬元","實際
2013–14
%","實際
2014–15
百萬元","實際
2014–15
%","實際
2015–16
百萬元","實際
2015–16
%","實際
2016–17
百萬元","實際
2016–17
%","修訂預算
2017–18
百萬元","修訂預算
2017–18
%","預算
2018–19
百萬元","預算
2018–19
%"
"經營收入","內部稅收","入息及利得稅","183506","52","204950","52","205883","54","206907","47","206055","47","218448","47"
"經營收入","內部稅收","印花稅","41515","12","74845","19","62680","16","61899","14","92700","21","100000","21"
"經營收入","內部稅收","博彩及彩票稅","18066","5","19479","5","20127","5","21119","5","21439","5","21212","5"
"經營收入","內部稅收","飛機乘客離境稅","2244","1","2347","0","2516","1","2598","1","2748","1","2849","1"
"經營收入","公用事業及各項收費","","15849","5","18551","5","19159","5","16975","4","20461","5","20619","4"
"經營收入","一般差餉","","14911","4","22272","6","22733","6","21250","5","22282","5","15014","3"
"經營收入","應課稅品稅項","","9720","3","10010","3","10712","3","10254","2","10780","2","11165","2"
"經營收入","車輛稅","","8338","2","9549","2","9311","2","7814","2","8746","2","8911","2"
"經營收入","其他收入","","50679","15","31931","8","28411","7","62911","14","51674","12","57921","13"
"非經營收入","","","3406","1","1827","0","2489","1","24299","6","1390","0","10184","2"
"從各基金轉撥的款項","","","1000","","2000","","0","","0","","0","","80000",""
