"帳目的變動情況","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","404720","402786","478856","508486","563395","619925"
"收入","348234","395761","384021","436026","438275","466323"
"開支","340275","319162","351211","357253","377395","459639"
"未計入轉撥款項的盈餘／(赤字)","7959","76599","32810","78773","60880","6684"
"(轉撥各基金)／從各基金轉撥的款項淨額","-9893","-529","-3180","-23864","-4350","77410"
"已計入轉撥款項的盈餘／(赤字)","-1934","76070","29630","54909","56530","84094"
"期末結餘","402786","478856","508486","563395","619925","704019"
