"獎券基金收入","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"六合彩獎券","1159","1182","1219","1276","1104","1087"
"車牌拍賣的收入淨額","77","71","103","88","59","61"
"投資收入","518","0","0","730","635","1039"
"捐款","3","69","9","4","4","4"
"補助金退款","0","0","0","0","0","0"
