"收入","2016–17實際收入
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"六合彩獎券","1276129","1103525","1086990"
"車牌拍賣的收入淨額","87613","58714","60805"
"投資收入","730226","634908","1039000"
"捐款","4065","4171","4171"
"補助金退款","0","218","0"
