"獎券基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","10228","21173","21620","22014","22782","23141"
"收入","1757","1322","1331","2098","1802","2191"
"開支","812","875","937","1330","1443","2981"
"從政府一般收入帳目轉撥款項前的盈餘／(赤字)","945","447","394","768","359","-790"
"從政府一般收入帳目轉撥的款項","10000","0","0","0","0","0"
"從政府一般收入帳目轉撥款項後的盈餘／(赤字)","10945","447","394","768","359","-790"
"期末結餘","21173","21620","22014","22782","23141","22351"
