Revenue of General Revenue Account,Head of Revenue,Sub-head of Revenue,"Actual
2013¡V14
$m","Actual
2013¡V14
%","Actual
2014¡V15
$m","Actual
2014¡V15
%","Actual
2015¡V16
$m","Actual
2015¡V16
%","Actual
2016¡V17
$m","Actual
2016¡V17
%","Revised Estimate
2017¡V18
$m","Revised Estimate
2017¡V18
%","Estimate
2018¡V19
$m","Estimate
2018¡V19
%"
Operating Revenue,Internal Revenue,Earnings and profits tax,183506,52,204950,52,205883,54,206907,47,206055,47,218448,47
Operating Revenue,Internal Revenue,Stamp duties,41515,12,74845,19,62680,16,61899,14,92700,21,100000,21
Operating Revenue,Internal Revenue,Bets and sweeps tax,18066,5,19479,5,20127,5,21119,5,21439,5,21212,5
Operating Revenue,Internal Revenue,Air passenger departure tax,2244,1,2347,0,2516,1,2598,1,2748,1,2849,1
Operating Revenue,"Utilities, Fees and Charges",,15849,5,18551,5,19159,5,16975,4,20461,5,20619,4
Operating Revenue,General Rates,,14911,4,22272,6,22733,6,21250,5,22282,5,15014,3
Operating Revenue,Duties,,9720,3,10010,3,10712,3,10254,2,10780,2,11165,2
Operating Revenue,Motor Vehicle Taxes,,8338,2,9549,2,9311,2,7814,2,8746,2,8911,2
Operating Revenue,Other Revenue,,50679,15,31931,8,28411,7,62911,14,51674,12,57921,13
Capital Revenue,,,3406,1,1827,0,2489,1,24299,6,1390,0,10184,2
Transfers from Funds,,,1000,,2000,,0,,0,,0,,80000,
