General Revenue Account,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Opening Balance,404720,402786,478856,508486,563395,619925
Revenue,348234,395761,384021,436026,438275,466323
Expenditure,340275,319162,351211,357253,377395,459639
Surplus/(Deficit) before Fund Transfers,7959,76599,32810,78773,60880,6684
Net Transfers (to)/from Funds,-9893,-529,-3180,-23864,-4350,77410
Surplus/(Deficit) after Fund Transfers,-1934,76070,29630,54909,56530,84094
Closing Balance,402786,478856,508486,563395,619925,704019
