Revenue of Disaster Relief Fund,"Actual
2013¡V14
$m","Actual
2014¡V15
$m","Actual
2015¡V16
$m","Actual
2016¡V17
$m","Revised Estimate
2017¡V18
$m","Estimate
2018¡V19
$m"
Investment Income,1,0,0,1,1,3
Refund of Grants,2,2,1,3,1,0
Donations,0,0,0,0,0,0
