"公務員退休金儲備基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","25742","27029","27029","27129","31899","35129"
"收入","1287","0","0","970","930","1657"
"開支","0","0","0","0","0","0"
"從政府一般收入帳目轉撥款項前的盈餘","1287","0","0","970","930","1657"
"從政府一般收入帳目轉撥的款項","0","0","100","3800","2300","1530"
"從政府一般收入帳目轉撥款項後的盈餘","1287","0","100","4770","3230","3187"
"期末結餘","27029","27029","27129","31899","35129","38316"
