"收入","總目 (編號)","總目","","分目 (編號)","分目","截至31.3.2017止的實際收入
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"償還的貸款","962","工業","香港科技園公司","212","貸款予香港科技園公司(第2期)","546275","98582","97401"
"償還的貸款","973","旅遊業","","202","貸款予香港國際主題樂園有限公司","0","0","325124"
"來自投資／貸款的股息、利息及其他收入","","","","","","0","719747","814981"
"投資收入","","","","","","0","78976","122000"
