"資本投資基金開支","","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"投資／貸款","香港科技園公司","0","0","0","9476","600","560"
"投資／貸款","香港國際主題樂園有限公司","0","0","0","700","200","876"
"投資／貸款","亞洲開發銀行","12","12","17","18","18","18"
"投資／貸款","亞洲基礎設施投資銀行","0","0","0","0","240","240"
