"資本投資基金","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"期初結餘","1396","1994","1443","2835","3078","2917"
"收入","1610","1461","1409","1437","897","1360"
"開支","12","12","17","10194","1058","1694"
"從政府一般收入帳目轉撥款項／(轉撥款項至政府一般收入帳目)前的盈餘／(赤字)","1598","1449","1392","-8757","-161","-334"
"從政府一般收入帳目轉撥／(轉撥至政府一般收入帳目)的款項的淨額","-1000","-2000","0","9000","0","0"
"從政府一般收入帳目轉撥款項／(轉撥款項至政府一般收入帳目)後的盈餘／(赤字)","598","-551","1392","243","-161","-334"
"期末結餘","1994","1443","2835","3078","2917","2583"
