"資本投資基金收入","實際
2013–14
百萬元","實際
2014–15
百萬元","實際
2015–16
百萬元","實際
2016–17
百萬元","修訂預算
2017–18
百萬元","預算
2018–19
百萬元"
"償還的貸款","167","110","94","96","98","423"
"來自投資／貸款的股息、利息及其他收入","1367","1351","1315","1251","720","815"
"投資收入","76","0","0","90","79","122"
